wn_meoh,abs_meoh,abs10e6_meoh,wn_etoh,abs_etoh,abs10e6_etoh,wn_h2o,abs_h2o,abs10e6_h2o,wn_hdo,abs_hdo,abs10e6_hdo,wn_facid,abs_facid,abs10e6_facid
7203.498657,5.91E-06,5.90849,7203.48037,3.33E-06,3.32695,7203.512461,1.19E-06,1.19203,7203.512461,7.03E-07,0.70346,7193.499937,6.42E-06,6.417046
7203.438392,4.67E-06,4.66847,7203.420105,3.58E-06,3.57932,7203.452196,1.23E-06,1.22955,7203.452196,4.95E-07,0.495052,7193.439672,-1.10E-06,-1.097139
7203.378128,4.49E-06,4.4895,7203.359841,3.69E-06,3.69065,7203.391931,1.38E-06,1.375,7203.391931,4.70E-07,0.470425,7193.379407,1.01E-06,1.011293
7203.317863,4.90E-06,4.89804,7203.299576,3.88E-06,3.87552,7203.331667,1.52E-06,1.51771,7203.331667,1.14E-06,1.14353,7193.319142,3.47E-06,3.473822
7203.257598,5.00E-06,4.99531,7203.239312,3.35E-06,3.3549,7203.271402,1.43E-06,1.43048,7203.271402,1.24E-06,1.2388,7193.258878,-3.58E-06,-3.579898
7203.197334,4.44E-06,4.43839,7203.179047,3.41E-06,3.41144,7203.211137,2.42E-06,2.41672,7203.211137,6.18E-07,0.617876,7193.198613,-1.28E-06,-1.276726
7203.137069,5.15E-06,5.15411,7203.118783,3.44E-06,3.43803,7203.150872,3.13E-06,3.12589,7203.150872,4.98E-07,0.49751,7193.138348,-4.20E-07,-0.4204813
7203.076804,5.84E-06,5.83929,7203.058518,3.74E-06,3.73691,7203.090607,4.27E-06,4.27104,7203.090607,3.40E-07,0.340474,7193.078083,5.46E-06,5.463709
7203.016539,6.22E-06,6.22173,7202.998254,3.97E-06,3.97257,7203.030342,6.31E-06,6.31274,7203.030342,7.75E-07,0.774514,7193.017819,-6.20E-06,-6.204035
7202.956275,6.54E-06,6.53957,7202.937989,3.67E-06,3.66918,7202.970078,8.78E-06,8.77683,7202.970078,1.74E-07,0.173587,7192.957554,-5.78E-06,-5.781912
7202.89601,6.78E-06,6.78431,7202.877725,3.82E-06,3.81891,7202.909813,1.14E-05,11.3645,7202.909813,-1.08E-07,-0.108372,7192.897289,1.42E-05,14.2113
7202.835745,7.91E-06,7.90559,7202.81746,3.97E-06,3.97004,7202.849548,9.98E-06,9.98258,7202.849548,2.57E-07,0.256523,7192.837025,-7.16E-06,-7.15913
7202.775481,7.14E-06,7.14077,7202.757196,4.00E-06,4.00257,7202.789283,7.59E-06,7.5871,7202.789283,5.87E-07,0.587026,7192.77676,1.29E-06,1.292761
7202.715216,7.36E-06,7.36408,7202.696931,4.00E-06,3.99738,7202.729018,5.26E-06,5.25566,7202.729018,2.14E-07,0.213916,7192.716495,-1.39E-05,-13.94319
7202.654951,8.15E-06,8.14684,7202.636667,3.74E-06,3.73908,7202.668754,3.54E-06,3.54426,7202.668754,1.85E-07,0.184654,7192.65623,9.04E-06,9.043929
7202.594687,7.22E-06,7.22171,7202.576402,3.71E-06,3.71282,7202.608489,2.49E-06,2.49364,7202.608489,4.83E-07,0.483101,7192.595966,1.11E-06,1.11051
7202.534422,6.76E-06,6.75524,7202.516138,3.69E-06,3.68806,7202.548224,2.02E-06,2.02313,7202.548224,5.53E-07,0.552652,7192.535701,-6.60E-06,-6.600324
7202.474157,6.36E-06,6.36408,7202.455873,3.39E-06,3.39463,7202.487959,1.99E-06,1.99309,7202.487959,9.07E-07,0.907031,7192.475436,9.22E-06,9.22152
7202.413893,6.82E-06,6.82108,7202.395608,3.66E-06,3.65613,7202.427694,1.90E-06,1.90304,7202.427694,9.36E-07,0.936488,7192.415172,-4.70E-06,-4.695825
7202.353628,7.27E-06,7.26511,7202.335344,4.10E-06,4.10443,7202.36743,2.52E-06,2.51996,7202.36743,1.38E-06,1.38183,7192.354907,4.60E-06,4.604454
7202.293363,6.52E-06,6.5162,7202.275079,4.27E-06,4.27219,7202.307165,3.09E-06,3.08982,7202.307165,8.14E-07,0.814113,7192.294642,6.50E-06,6.501876
7202.233098,6.08E-06,6.0811,7202.214815,4.05E-06,4.05426,7202.2469,3.24E-06,3.23829,7202.2469,7.68E-07,0.767987,7192.234377,7.40E-07,0.73992
7202.172834,6.96E-06,6.96113,7202.15455,3.95E-06,3.95353,7202.186635,2.70E-06,2.7033,7202.186635,6.29E-07,0.628762,7192.174113,7.99E-06,7.993195
7202.112569,6.64E-06,6.6401,7202.094286,3.99E-06,3.98582,7202.12637,2.18E-06,2.18138,7202.12637,3.41E-07,0.341419,7192.113848,1.11E-05,11.12099
7202.052304,6.57E-06,6.56851,7202.034021,3.84E-06,3.84356,7202.066106,1.24E-06,1.24392,7202.066106,4.02E-08,0.0401822,7192.053583,-7.62E-06,-7.622624
7201.99204,5.21E-06,5.20757,7201.973757,3.69E-06,3.69,7202.005841,8.91E-07,0.89097,7202.005841,3.27E-07,0.32659,7191.993318,6.80E-07,0.6803729
7201.931775,5.11E-06,5.10608,7201.913492,3.73E-06,3.72586,7201.945576,7.97E-07,0.796791,7201.945576,3.54E-07,0.353772,7191.933054,-9.08E-06,-9.084904
7201.87151,4.66E-06,4.66358,7201.853228,4.20E-06,4.1986,7201.885311,3.91E-07,0.391009,7201.885311,-1.57E-07,-0.156588,7191.872789,9.31E-06,9.308315
7201.811246,4.63E-06,4.62706,7201.792963,4.50E-06,4.50339,7201.825046,5.68E-07,0.568441,7201.825046,-3.85E-07,-0.38509,7191.812524,1.14E-05,11.42837
7201.750981,4.65E-06,4.64963,7201.732699,4.41E-06,4.40972,7201.764782,4.38E-07,0.437996,7201.764782,-1.11E-08,-0.0110986,7191.75226,-6.96E-06,-6.964227
7201.690716,4.08E-06,4.08403,7201.672434,4.27E-06,4.27011,7201.704517,4.87E-07,0.487097,7201.704517,-2.55E-07,-0.25504,7191.691995,5.04E-07,0.5038024
7201.630452,4.87E-06,4.87085,7201.61217,3.91E-06,3.90861,7201.644252,1.44E-07,0.144148,7201.644252,8.75E-08,0.0874938,7191.63173,7.72E-06,7.718241
7201.570187,4.61E-06,4.60886,7201.551905,4.26E-06,4.26029,7201.583987,4.28E-08,0.0428217,7201.583987,2.37E-07,0.236875,7191.571465,-1.02E-06,-1.022387
7201.509922,4.11E-06,4.11082,7201.491641,4.09E-06,4.08869,7201.523722,2.96E-07,0.296017,7201.523722,2.12E-07,0.212049,7191.511201,2.12E-05,21.2181
7201.449658,3.62E-06,3.61788,7201.431376,4.07E-06,4.07048,7201.463458,1.39E-07,0.138851,7201.463458,3.05E-07,0.305208,7191.450936,2.66E-06,2.66136
7201.389393,3.97E-06,3.96697,7201.371111,4.52E-06,4.51978,7201.403193,1.94E-07,0.194339,7201.403193,-1.10E-08,-0.0109682,7191.390671,-1.10E-05,-10.96657
7201.329128,3.68E-06,3.6821,7201.310847,4.83E-06,4.82532,7201.342928,1.10E-07,0.110023,7201.342928,3.58E-07,0.358326,7191.330407,7.91E-06,7.908739
7201.268863,4.08E-06,4.07952,7201.250582,4.37E-06,4.3657,7201.282663,3.90E-07,0.390177,7201.282663,-5.41E-07,-0.541299,7191.270142,-6.04E-06,-6.041043
7201.208599,3.86E-06,3.85963,7201.190318,4.19E-06,4.19231,7201.222398,3.33E-07,0.333494,7201.222398,3.49E-07,0.349155,7191.209877,-6.29E-06,-6.291357
7201.148334,3.55E-06,3.55372,7201.130053,3.81E-06,3.81018,7201.162134,-1.06E-08,-0.0106233,7201.162134,4.02E-07,0.401985,7191.149612,7.15E-06,7.149448
7201.088069,4.29E-06,4.29242,7201.069789,4.46E-06,4.46231,7201.101869,3.76E-08,0.0376248,7201.101869,6.90E-08,0.069044,7191.089348,6.67E-06,6.667092
